# Forestry
# 4.2.10.58 (58)
Beekeeping statistics for Muramasa_ on 24/03/16 18:29:

Mode: NORMAL

Discovered:
-----------
Queen:		0
Princess:	0
[    ] [    ] [    ]	extrabees.species.brown                  Sepia                Binnie              
[    ] [    ] [    ]	extrabees.species.orange                 Amber                Binnie              
[    ] [    ] [    ]	extrabees.species.cyan                   Turquoise            Binnie              
[    ] [    ] [    ]	extrabees.species.purple                 Indigo               Binnie              
[    ] [    ] [    ]	extrabees.species.gray                   Slate                Binnie              
[    ] [    ] [    ]	extrabees.species.lightblue              Azure                Binnie              
[    ] [    ] [    ]	extrabees.species.pink                   Lavender             Binnie              
[    ] [    ] [    ]	extrabees.species.limegreen              Lime                 Binnie              
[    ] [    ] [    ]	extrabees.species.magenta                Fuchsia              Binnie              
[    ] [    ] [    ]	extrabees.species.lightgray              Ashen                Binnie              
[    ] [    ] [    ]	extrabees.species.celebratory            Celebratory          Binnie              
[    ] [    ] [ NC ]	extrabees.species.jaded                  Jaded                Binnie              
[    ] [    ] [    ]	extrabees.species.glowstone              Glowering            Binnie              
[    ] [    ] [    ]	extrabees.species.hazardous              Hazardous            Binnie              
[    ] [    ] [    ]	extrabees.species.nickel                 Lustered             Binnie              
[    ] [    ] [    ]	extrabees.species.quantum                Quantum              Binnie              
[    ] [    ] [    ]	extrabees.species.spatial                Spatial              Binnie              
[    ] [    ] [    ]	extrabees.species.unusual                Abnormal             Binnie              
[    ] [ BL ] [    ]	extrabees.species.yellorium              Yellorium            Binnie              
[    ] [ BL ] [    ]	extrabees.species.cyanite                Cyanite              Binnie              
[    ] [ BL ] [    ]	extrabees.species.blutonium              Blutonium            Binnie              
[    ] [    ] [    ]	extrabees.species.mystical               Mystical             Binnie              
[    ] [    ] [    ]	magicbees.speciesMystical                Mystical             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSorcerous               Sorcerous            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesUnusual                 Unusual              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesAttuned                 Attuned              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesEldritch                Eldritch             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesEsoteric                Esoteric             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesMysterious              Mysterious           MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesArcane                  Arcane               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesCharmed                 Charmed              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesEnchanted               Enchanted            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSupernatural            Supernatural         MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesEthereal                Ethereal             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesWatery                  Watery               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesEarthen                 Earthen              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesFirey                   Firey                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesWindy                   Windy                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesPupil                   Pupil                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesScholarly               Scholarly            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSavant                  Savant               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesAware                   Aware                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSpirit                  Spirit               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSoul                    Soul                 MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSkulking                Skulking             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesGhastly                 Ghastly              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSpidery                 Spidery              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSmouldering             Smouldering          MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCBrainy                Brainy               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesBigBad                  Big Bad              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCChicken               Poultry              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCBeef                  Beefy                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCPork                  Porcine              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCBatty                 Batty                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSheepish                Sheepish             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesHorse                   Neighsayer           MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesCatty                   Catty                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTimely                  Timely               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesLordly                  Lordly               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesDoctoral                Doctoral             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesInfernal                Infernal             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesHateful                 Hateful              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSpiteful                Spiteful             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesWithering               Withering            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesOblivion                Oblivion             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesNameless                Nameless             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesAbandoned               Abandoned            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesForlorn                 Forlorn              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesDraconic                Draconic             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesIron                    Ferrous              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesGold                    Auric                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesCopper                  Cuprum               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTin                     Stannum              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSilver                  Argentum             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesLead                    Plumbum              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesAluminum                Aluminum             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesArdite                  Ardite               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesCobalt                  Cobalt               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesManyullyn               Manyullyn            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesOsmium                  Osmium               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesDiamond                 Diamandi             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesEmerald                 Esmeraldi            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesApatite                 Apatine              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesSilicon                 Silicon              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesCertus                  Certus               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesFluix                   Fluix                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesMutable                 Mutable              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTransmuting             Transmuting          MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesCrumbling               Crumbling            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesInvisible               Invisible            MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCAir                   Aer                  MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCFire                  Ignis                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCWater                 Aqua                 MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCEarth                 Solum                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCOrder                 Ordered              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCChaos                 Chaotic              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCVis                   Vis                  MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCRejuvenating          Rejuvenating         MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCEmpowering            Empowering           MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCNexus                 Nexus                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCFlux                  Flux                 MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCPure                  Pure                 MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCHungry                Ravening             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCWispy                 Wispy                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTCVoid                  Void                 MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesEEMinium                Minium               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMEssence               Essence              MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMQuintessence          Quintessential       MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMEarth                 Terrestric           MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMAir                   Aiolic               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMFire                  Igneous              MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMWater                 Aqueous              MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMLightning             Fulguric             MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMPlant                 Fruticic             MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMIce                   Glacic               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMArcane                Arcane               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMVortex                Vortex               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesAMWight                 Wight                MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEBlizzy                Blizzy               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEGelid                 Gelid                MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEDante                 Dante                MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEPyro                  Pyro                 MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEShocking              Shocking             MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEAmped                 Amped                MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEGrounded              Grounded             MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTERocking               Rockin'              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTEElectrum              Electrum             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTEPlatinum              Platinum             MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTENickel                Nickel               MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTEInvar                 Invar                MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesTEBronze                Bronzed              MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTECoal                  Carbon               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEDestabilized          Destabilized         MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTELux                   Lux                  MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEWinsome               Winsome              MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesTEEndearing             Endearing            MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesRSAFluxed               Fluxed               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotRooted               Rooted               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotBotanic              Botanic              MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotBlossom              Blossom              MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotFloral               Floral               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotVazbee               Vazbee               MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotSomnolent            Somnolent            MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotDreaming             Dreaming             MysteriousAges      
[    ] [ BL ] [    ]	magicbees.speciesBotAlfheim              Alfheim              MysteriousAges      
[    ] [    ] [    ]	magicbees.speciesAESkystone              Skystone             MysteriousAges      
[    ] [    ] [    ]	forestry.speciesForest                   Forest               Sengir              
[    ] [    ] [    ]	forestry.speciesMeadows                  Meadows              Sengir              
[    ] [    ] [    ]	forestry.speciesCommon                   Common               Sengir              
[    ] [    ] [    ]	forestry.speciesCultivated               Cultivated           Sengir              
[    ] [    ] [    ]	forestry.speciesNoble                    Noble                Sengir              
[    ] [    ] [    ]	forestry.speciesMajestic                 Majestic             Sengir              
[    ] [    ] [    ]	forestry.speciesImperial                 Imperial             Sengir              
[    ] [    ] [    ]	forestry.speciesDiligent                 Diligent             Sengir              
[    ] [    ] [    ]	forestry.speciesUnweary                  Unweary              Sengir              
[    ] [    ] [    ]	forestry.speciesIndustrious              Industrious          Sengir              
[    ] [    ] [    ]	forestry.speciesSteadfast                Steadfast            Sengir              
[    ] [    ] [    ]	forestry.speciesValiant                  Valiant              Sengir              
[    ] [    ] [    ]	forestry.speciesHeroic                   Heroic               Sengir              
[    ] [    ] [    ]	forestry.speciesSinister                 Sinister             Sengir              
[    ] [    ] [    ]	forestry.speciesFiendish                 Fiendish             Sengir              
[    ] [    ] [    ]	forestry.speciesDemonic                  Demonic              Sengir              
[    ] [    ] [    ]	forestry.speciesModest                   Modest               Sengir              
[    ] [    ] [    ]	forestry.speciesFrugal                   Frugal               Sengir              
[    ] [    ] [    ]	forestry.speciesAustere                  Austere              Sengir              
[    ] [    ] [    ]	forestry.speciesTropical                 Tropical             Sengir              
[    ] [    ] [    ]	forestry.speciesExotic                   Exotic               Sengir              
[    ] [    ] [    ]	forestry.speciesEdenic                   Edenic               Sengir              
[    ] [    ] [    ]	forestry.speciesEnded                    Ender                Sengir              
[    ] [    ] [    ]	forestry.speciesSpectral                 Spectral             Sengir              
[    ] [    ] [    ]	forestry.speciesPhantasmal               Phantasmal           Sengir              
[    ] [    ] [    ]	forestry.speciesWintry                   Wintry               Sengir              
[    ] [    ] [    ]	forestry.speciesIcy                      Icy                  Sengir              
[    ] [    ] [    ]	forestry.speciesGlacial                  Glacial              Sengir              
[    ] [    ] [ NC ]	forestry.speciesVindictive               Vindictive           Sengir              
[    ] [    ] [ NC ]	forestry.speciesVengeful                 Vengeful             Sengir              
[    ] [    ] [ NC ]	forestry.speciesAvenging                 Avenging             Sengir              
[    ] [    ] [ NC ]	forestry.speciesLeporine                 Leporine             Sengir              
[    ] [    ] [ NC ]	forestry.speciesMerry                    Merry                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTipsy                    Tipsy                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTricky                   Tricky               Sengir              
[    ] [    ] [    ]	forestry.speciesRural                    Rural                Sengir              
[    ] [    ] [    ]	forestry.speciesFarmerly                 Farmerly             Sengir              
[    ] [    ] [    ]	forestry.speciesAgrarian                 Agrarian             Sengir              
[    ] [    ] [    ]	forestry.speciesMarshy                   Marshy               Sengir              
[    ] [    ] [    ]	forestry.speciesMiry                     Miry                 Sengir              
[    ] [    ] [    ]	forestry.speciesBoggy                    Boggy                Sengir              
[    ] [    ] [    ]	forestry.speciesMonastic                 Monastic             Sengir              
[    ] [    ] [    ]	forestry.speciesSecluded                 Secluded             Sengir              
[    ] [    ] [    ]	forestry.speciesHermitic                 Hermitic             Sengir              
[    ] [    ] [    ]	forestry.speciesClay                     Clay                 Sengir              
[    ] [    ] [    ]	forestry.speciesSlimeball                Slimeball            Sengir              
[    ] [    ] [    ]	forestry.speciesPeat                     Peat                 Sengir              
[    ] [    ] [    ]	forestry.speciesStickyresin              Stickyresin          Sengir              
[    ] [    ] [    ]	forestry.speciesCoal                     Coal                 Sengir              
[    ] [    ] [    ]	forestry.speciesOil                      Oil                  Sengir              
[    ] [    ] [    ]	forestry.speciesRedstone                 Redstone             Sengir              
[    ] [    ] [    ]	forestry.speciesLapis                    Lapis                Sengir              
[    ] [    ] [    ]	forestry.speciesCertus                   Certus               Sengir              
[    ] [    ] [    ]	forestry.speciesRuby                     Ruby                 Sengir              
[    ] [    ] [    ]	forestry.speciesSapphire                 Sapphire             Sengir              
[    ] [    ] [    ]	forestry.speciesDiamond                  Diamond              Sengir              
[    ] [    ] [    ]	forestry.speciesOlivine                  Olivine              Sengir              
[    ] [    ] [    ]	forestry.speciesEmerald                  Emerald              Sengir              
[    ] [    ] [    ]	forestry.speciesCopper                   Copper               Sengir              
[    ] [    ] [    ]	forestry.speciesTin                      Tin                  Sengir              
[    ] [    ] [    ]	forestry.speciesLead                     Lead                 Sengir              
[    ] [    ] [    ]	forestry.speciesIron                     Iron                 Sengir              
[    ] [    ] [    ]	forestry.speciesSteel                    Steel                Sengir              
[    ] [    ] [    ]	forestry.speciesNickel                   Nickel               Sengir              
[    ] [    ] [    ]	forestry.speciesZinc                     Zinc                 Sengir              
[    ] [    ] [    ]	forestry.speciesSilver                   Silver               Sengir              
[    ] [    ] [    ]	forestry.speciesGold                     Gold                 Sengir              
[    ] [    ] [    ]	forestry.speciesAluminium                Aluminium            Sengir              
[    ] [    ] [    ]	forestry.speciesTitanium                 Titanium             Sengir              
[    ] [    ] [    ]	forestry.speciesChrome                   Chrome               Sengir              
[    ] [    ] [    ]	forestry.speciesManganese                Manganese            Sengir              
[    ] [    ] [    ]	forestry.speciesTungsten                 Tungsten             Sengir              
[    ] [    ] [    ]	forestry.speciesPlatinum                 Platinum             Sengir              
[    ] [    ] [    ]	forestry.speciesIridium                  Iridium              Sengir              
[    ] [    ] [    ]	forestry.speciesUranium                  Uranium              Sengir              
[    ] [    ] [    ]	forestry.speciesPlutonium                Plutonium            Sengir              
[    ] [    ] [    ]	forestry.speciesNaquadah                 Naquadah             Sengir              
